order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,979,1,56.76,56.76
2,1,544,3,52.4,157.2
3,2,760,1,26.33,26.33
4,2,555,1,30.54,30.54
5,2,841,1,46.83,46.83
6,3,208,1,36.5,36.5
7,3,962,1,55.66,55.66
8,3,122,1,42.95,42.95
9,4,428,1,16.68,16.68
10,4,862,2,26.09,52.18
11,4,993,2,20.3,40.6
12,4,930,1,54.43,54.43
13,4,403,2,27.18,54.36
14,5,404,1,17.28,17.28
15,5,371,1,49.67,49.67
16,6,38,1,19.63,19.63
17,7,620,2,15.52,31.04
18,7,789,1,44.88,44.88
19,7,194,1,53.53,53.53
20,8,465,1,53.64,53.64
21,8,195,1,41.62,41.62
22,9,992,1,37.26,37.26
23,10,942,1,30.66,30.66
24,10,849,1,18.74,18.74
25,10,757,1,57.35,57.35
26,11,528,2,39.61,79.22
27,12,609,1,16.23,16.23
28,12,974,1,38.43,38.43
29,13,319,3,47.72,143.16
30,14,390,1,38.77,38.77
31,14,270,1,46.78,46.78
32,15,986,1,47.09,47.09
33,15,289,3,51.51,154.53
34,15,970,2,27.7,55.4
35,16,252,1,25.85,25.85
36,17,247,2,54.21,108.42
37,17,80,1,50.4,50.4
38,17,81,1,13.61,13.61
39,18,737,1,37.25,37.25
40,18,274,1,50.89,50.89
41,19,276,1,52.15,52.15
42,19,512,1,33.17,33.17
43,20,205,1,30.8,30.8
44,21,878,1,22.06,22.06
45,21,278,3,11.83,35.49
46,22,928,1,29.38,29.38
47,22,288,1,49.83,49.83
48,23,931,1,36.26,36.26
49,23,9,3,22.6,67.8
50,24,190,1,49.43,49.43
51,24,779,1,24.72,24.72
52,24,409,3,48.49,145.47
53,25,187,3,57.36,172.08
54,25,116,1,29.14,29.14
55,25,874,2,27.41,54.82
56,26,735,3,44.92,134.76
57,26,603,1,38.77,38.77
58,27,684,3,13.38,40.14
59,28,837,1,42.72,42.72
60,28,120,1,28.09,28.09
61,28,309,2,27.09,54.18
62,28,796,1,56.68,56.68
63,29,232,3,56.8,170.4
64,29,107,3,29.69,89.07
65,29,985,1,51.32,51.32
66,30,942,3,30.66,91.98
67,30,172,1,20.27,20.27
68,30,146,2,43.54,87.08
69,31,161,1,32.0,32.0
70,32,928,2,29.38,58.76
71,32,518,1,51.74,51.74
72,33,659,1,46.08,46.08
73,33,989,1,41.24,41.24
74,34,350,2,55.51,111.02
75,34,897,1,31.58,31.58
76,35,441,1,35.92,35.92
77,36,4,1,47.82,47.82
78,37,645,1,10.79,10.79
79,37,718,1,48.77,48.77
80,37,366,1,56.54,56.54
81,37,835,1,44.07,44.07
82,38,47,1,50.27,50.27
83,38,38,1,19.63,19.63
84,39,191,1,29.99,29.99
85,40,309,1,27.09,27.09
86,41,542,1,29.93,29.93
87,41,826,1,28.85,28.85
88,41,643,1,46.42,46.42
89,42,638,1,58.81,58.81
90,43,739,1,58.09,58.09
91,44,497,1,37.33,37.33
92,44,803,1,38.95,38.95
93,45,915,1,36.52,36.52
