order_id,customer_id,order_date,total_amount,status,payment_method,shipping_city,shipping_country
1,441,2025-07-01,213.96,Completed,Credit Card,West Alex,Mali
2,135,2024-12-08,103.7,Completed,PayPal,Brettfort,Tunisia
3,291,2025-06-25,135.11,Completed,Bank Transfer,North Joshuaberg,Italy
4,286,2025-03-29,218.25,Completed,PayPal,Lake Kentburgh,Antarctica (the territory South of 60 deg S)
5,44,2026-03-12,66.95,Processing,Debit Card,Stephaniemouth,New Zealand
6,399,2024-12-30,19.63,Completed,Bank Transfer,South Gabriel,Belarus
7,201,2025-12-09,129.45,Completed,Debit Card,Turnerton,Moldova
8,332,2025-01-30,95.26,Processing,PayPal,Destinybury,Guinea
9,223,2025-04-16,37.26,Completed,PayPal,Stewartville,Bermuda
10,403,2026-01-20,106.75,Shipped,Debit Card,Dillonburgh,Cyprus
11,345,2025-10-23,79.22,Completed,Credit Card,New Tylerborough,Portugal
12,274,2026-01-19,54.66,Cancelled,Bank Transfer,Villarrealburgh,Heard Island and McDonald Islands
13,76,2025-07-26,143.16,Cancelled,Credit Card,Port Richardhaven,Sweden
14,337,2024-07-24,85.55,Processing,PayPal,New Jamesstad,Zambia
15,455,2025-11-24,257.02,Completed,Credit Card,New Michael,Saint Martin
16,187,2024-07-28,25.85,Processing,PayPal,Morrisbury,Albania
17,487,2025-05-09,172.43,Completed,Bank Transfer,West Carlos,Martinique
18,208,2025-08-19,88.14,Completed,Bank Transfer,Garciafort,Senegal
19,470,2025-04-05,85.32,Cancelled,Debit Card,Millerton,Uruguay
20,370,2025-11-24,30.8,Cancelled,PayPal,Heatherton,Vanuatu
21,224,2025-03-27,57.55,Completed,Bank Transfer,Hawkinshaven,Ireland
22,493,2025-09-12,79.21,Completed,Debit Card,New Amanda,Saint Pierre and Miquelon
23,190,2025-03-26,104.06,Completed,Debit Card,Robertside,United States Minor Outlying Islands
24,261,2024-08-05,219.62,Completed,Bank Transfer,North Heatherville,Tokelau
25,204,2026-02-13,256.04,Completed,Debit Card,West James,Oman
26,70,2025-10-29,173.53,Completed,Bank Transfer,Jonesbury,Uzbekistan
27,63,2024-12-20,40.14,Completed,PayPal,East Javier,Liberia
28,127,2024-06-20,181.67,Completed,Bank Transfer,New Debbieton,Egypt
29,113,2025-12-24,310.79,Cancelled,Credit Card,Anthonyview,Reunion
30,254,2025-08-10,199.33,Processing,Bank Transfer,Courtneyfurt,Korea
31,48,2025-09-10,32.0,Processing,Debit Card,Port Nicoleshire,Hong Kong
32,379,2025-08-09,110.5,Completed,Bank Transfer,Port Gina,Syrian Arab Republic
33,25,2025-02-24,87.32,Completed,Credit Card,Sarahborough,Paraguay
34,355,2025-02-06,142.6,Processing,Bank Transfer,Brentbury,Mexico
35,237,2024-10-09,35.92,Shipped,Debit Card,Matthewborough,Mali
36,209,2026-03-12,47.82,Completed,Credit Card,North Jose,Vietnam
37,331,2025-02-13,160.17,Completed,Debit Card,Meganside,Cocos (Keeling) Islands
38,167,2024-12-31,69.9,Cancelled,PayPal,Brandonport,Lithuania
39,374,2025-06-06,29.99,Completed,PayPal,Port Sarahport,Liechtenstein
40,62,2024-05-17,27.09,Shipped,Credit Card,Michaelmouth,Faroe Islands
41,394,2025-09-14,105.2,Completed,Credit Card,Port Tamara,Nicaragua
42,102,2026-03-04,58.81,Completed,PayPal,North Kristinbury,Brunei Darussalam
43,266,2025-03-22,58.09,Shipped,PayPal,South Paul,Dominican Republic
44,295,2025-11-04,76.28,Cancelled,Debit Card,New Louis,Saint Pierre and Miquelon
45,495,2024-11-13,73.35,Processing,PayPal,East Kimberlyside,Burkina Faso
46,76,2025-08-26,107.02,Completed,Bank Transfer,Port Richardhaven,Sweden
47,117,2024-06-19,88.2,Cancelled,Debit Card,South Tracey,Azerbaijan
48,187,2026-02-13,160.77,Shipped,PayPal,Morrisbury,Albania
49,217,2024-08-18,96.9,Shipped,Bank Transfer,New Samanthabury,Croatia
50,204,2025-10-13,252.51,Completed,PayPal,West James,Oman
51,425,2024-05-01,64.19,Completed,Credit Card,Port Barbara,Austria
52,182,2025-06-30,83.66,Cancelled,PayPal,Santosport,Gibraltar
53,362,2025-08-14,352.56,Completed,Bank Transfer,South Adam,Saint Pierre and Miquelon
54,103,2025-12-21,207.03,Completed,PayPal,Kimtown,Falkland Islands (Malvinas)
55,354,2025-12-02,167.97,Completed,Credit Card,North Dawnburgh,Madagascar
56,325,2025-10-13,217.13,Completed,PayPal,Lake Jeffrey,Costa Rica
57,368,2024-12-07,198.47,Cancelled,Debit Card,West Karen,Central African Republic
58,109,2025-06-21,226.47,Completed,PayPal,Mariafurt,Israel
59,35,2025-08-26,56.13,Cancelled,Bank Transfer,Sheilaville,Turkey
60,142,2024-07-17,150.26,Completed,Credit Card,South Morganton,North Macedonia
61,335,2025-08-25,104.58,Processing,Credit Card,South Marvinburgh,Germany
62,113,2025-06-20,32.49,Shipped,Debit Card,Anthonyview,Reunion
63,340,2024-06-17,37.48,Shipped,Debit Card,Port Richard,Denmark
64,198,2024-09-08,57.8,Completed,Credit Card,Ericborough,Vietnam
65,186,2025-08-05,79.16,Completed,Credit Card,East Cheryl,Northern Mariana Islands
66,189,2025-06-06,31.49,Completed,Debit Card,Lake Sabrinaport,Heard Island and McDonald Islands
67,169,2025-07-04,125.19,Shipped,Credit Card,Angelaland,Hungary
68,296,2025-11-21,85.42,Cancelled,Debit Card,Port Vanessa,Turkmenistan
69,413,2024-05-23,20.11,Completed,PayPal,Port Dustinchester,Benin
70,10,2025-06-28,26.08,Completed,Credit Card,Jamesmouth,Marshall Islands
71,37,2025-05-22,110.43,Processing,PayPal,West Ryan,Yemen
72,385,2024-09-06,45.19,Cancelled,Bank Transfer,Medinaland,Gambia
73,208,2025-11-15,23.61,Completed,Bank Transfer,Garciafort,Senegal
74,458,2025-04-16,25.02,Shipped,PayPal,Marcusmouth,Bouvet Island (Bouvetoya)
75,68,2025-05-07,104.43,Shipped,Bank Transfer,Torreston,New Zealand
76,333,2026-03-09,70.35,Processing,Debit Card,South Brianshire,Mozambique
77,104,2024-04-26,97.23,Completed,Credit Card,West Kristybury,Namibia
78,489,2024-07-14,87.13,Processing,PayPal,East Grace,Guinea-Bissau
79,62,2025-09-05,37.35,Processing,Debit Card,Michaelmouth,Faroe Islands
80,249,2026-04-09,18.03,Shipped,Bank Transfer,West Nancy,Antigua and Barbuda
81,410,2025-05-30,53.47,Completed,Bank Transfer,Fischerchester,Micronesia
82,203,2024-08-29,25.74,Completed,Bank Transfer,Meredithberg,Sri Lanka
83,206,2024-04-26,130.86,Completed,Credit Card,Susantown,Croatia
84,215,2024-11-11,47.97,Completed,Debit Card,Susanmouth,Mongolia
85,17,2025-12-14,89.28,Completed,Credit Card,New Johnfort,Croatia
86,302,2024-09-18,43.25,Cancelled,Bank Transfer,West Julie,Dominica
87,226,2024-10-19,38.71,Completed,Debit Card,Josephberg,Bahrain
88,71,2026-01-16,104.05,Processing,Credit Card,West Margaret,Barbados
89,92,2025-10-12,55.99,Completed,Bank Transfer,New Julieport,Singapore
90,212,2026-01-23,15.06,Cancelled,Credit Card,Port Adamberg,Tajikistan
91,437,2026-03-02,28.61,Completed,Debit Card,North Kellihaven,Serbia
92,314,2025-07-06,51.51,Shipped,Bank Transfer,East Lindsey,Brunei Darussalam
93,127,2025-03-23,306.09,Completed,Debit Card,New Debbieton,Egypt
94,314,2024-06-16,164.87,Completed,PayPal,East Lindsey,Brunei Darussalam
95,427,2025-12-29,149.83,Cancelled,Credit Card,Michaelview,Colombia
96,270,2025-05-31,91.4,Cancelled,Bank Transfer,New Mark,Namibia
97,66,2025-07-27,144.59,Processing,Debit Card,Port Cameronfort,Barbados
98,52,2024-12-16,29.82,Completed,Bank Transfer,Lake Casey,Pakistan
99,67,2025-02-18,187.56,Completed,Debit Card,North Angela,Israel
100,99,2025-07-13,90.56,Completed,PayPal,New Derek,Korea
101,440,2024-05-16,13.99,Completed,Debit Card,Millsside,Georgia
102,291,2025-04-28,106.44,Shipped,Credit Card,North Joshuaberg,Italy
103,73,2026-02-10,170.14,Cancelled,Debit Card,North Jeremyshire,Namibia
104,271,2026-04-07,75.82,Cancelled,Bank Transfer,East Christopherchester,Brazil
105,494,2024-04-30,201.98,Completed,PayPal,Stevenchester,French Polynesia
106,484,2025-01-01,21.21,Completed,PayPal,Jeremiahmouth,Ukraine
107,133,2025-03-17,21.15,Cancelled,Credit Card,South Cheryl,Sao Tome and Principe
108,115,2024-08-30,97.8,Processing,PayPal,North Ericton,Peru
109,425,2025-02-28,53.16,Shipped,Credit Card,Port Barbara,Austria
110,440,2024-04-30,25.06,Completed,Debit Card,Millsside,Georgia
111,209,2026-02-08,143.83,Completed,Bank Transfer,North Jose,Vietnam
112,401,2025-05-27,268.67,Processing,PayPal,East Bradleyshire,Nauru
113,292,2024-12-14,124.04,Completed,Credit Card,Caseystad,Lesotho
114,332,2025-02-02,322.58,Cancelled,PayPal,Destinybury,Guinea
115,275,2024-10-28,182.77,Completed,Debit Card,East Brandonstad,Hungary
116,374,2024-06-21,24.12,Completed,PayPal,Port Sarahport,Liechtenstein
117,320,2024-07-10,23.88,Completed,Bank Transfer,Schroedermouth,Ethiopia
118,294,2024-06-28,57.42,Completed,Credit Card,Lake John,Martinique
119,113,2025-06-06,10.29,Completed,Credit Card,Anthonyview,Reunion
120,344,2024-08-20,87.51,Shipped,Bank Transfer,West Danielville,Luxembourg
121,313,2024-11-19,51.07,Processing,Credit Card,South Kent,Indonesia
122,89,2024-08-01,193.93,Completed,PayPal,Littlemouth,Equatorial Guinea
123,377,2024-08-31,55.53,Processing,PayPal,Moonville,Hungary
124,139,2024-10-27,170.87,Cancelled,Credit Card,West Jasonberg,Mexico
125,47,2025-11-29,157.72,Shipped,Credit Card,North Robert,Greenland
