review_id,product_id,customer_id,review_text,star_rating,review_date,helpful_votes,verified_purchase
1,1,197,About 'A Light in the Attic' - Fair price for an average book. The content is standard for this category.,3,2025-04-16,12,True
2,1,175,One of the worst books I've read this year. Save your money and buy something else.,2,2025-03-30,50,False
3,1,153,One of the worst books I've read this year. Save your money and buy something else.,2,2025-02-24,37,False
4,2,248,I regret buying this. The story is unoriginal and the pacing is awful.,1,2025-03-21,22,False
5,2,194,I wanted to like this book but it was just too poorly executed.,2,2024-06-12,29,False
6,2,293,About 'Tipping the Velvet' - The worst book in this series. It feels like a cash grab with no real effort.,1,2025-07-22,24,True
7,2,382,My review of 'Tipping the Velvet': Very disappointed with this purchase. The story was boring and predictable.,1,2025-07-22,30,False
8,2,78,Extremely disappointing. The author clearly rushed through this work.,1,2024-04-17,31,True
9,2,170,Complete waste of time. There is no real plot or character development.,1,2024-10-19,6,False
10,2,8,Complete waste of time. There is no real plot or character development.,1,2026-02-26,46,True
11,2,497,Boring and uninspiring. I fell asleep multiple times trying to read it.,1,2025-06-11,9,True
12,3,355,The description was misleading. The actual content is nothing like what was promised.,1,2024-11-14,25,True
13,3,440,Boring and uninspiring. I fell asleep multiple times trying to read it.,1,2025-08-06,34,False
14,3,455,Extremely disappointing. The author clearly rushed through this work.,1,2025-08-13,48,False
15,3,36,Very disappointed with this purchase. The story was boring and predictable.,2,2025-06-19,15,False
16,3,223,Regarding 'Soumission': The worst book in this series. It feels like a cash grab with no real effort.,1,2026-01-09,6,True
17,4,463,My review of 'Sharp Objects': Interesting concept but the execution could have been better.,3,2026-01-12,1,True
18,4,151,Regarding 'Sharp Objects': Beautiful edition with great print quality. A joy to read and display.,4,2024-09-20,22,False
19,4,272,About 'Sharp Objects' - Excellent quality and fast delivery. The content exceeded my expectations.,4,2024-05-19,26,True
20,4,313,Regarding 'Sharp Objects': Average quality. The story had potential but didn't fully deliver.,3,2024-09-02,24,True
21,4,74,Incredibly moving and powerful. This book touched my heart deeply.,4,2024-08-05,14,False
22,5,342,My review of 'Sapiens: A Brief History of Hu': The characters are well-developed and the plot is gripping. Five stars!,5,2024-05-24,0,False
23,5,81,Very well written and thought-provoking. I learned a lot from this book.,5,2025-09-01,4,False
24,5,328,My review of 'Sapiens: A Brief History of Hu': Superb writing and an unforgettable story. This is a masterpiece.,5,2025-01-08,27,False
25,5,102,My review of 'Sapiens: A Brief History of Hu': This author never disappoints. Another brilliant work of literature.,5,2024-05-10,24,False
26,5,293,This book changed my perspective on so many things. A must-read for everyone.,4,2024-08-02,22,False
